match_id,innings,over_mark,runs_so_far,wickets_down,current_run_rate,balls_since_boundary,final_score,batting_team
71932702,1,6,34,2,5.666666666666667,0,155,Punjab Kings SRL
71932702,2,6,51,2,8.5,0,156,Kolkata Knight Riders SRL
71932704,1,6,45,0,7.5,0,197,Lucknow Super Giants SRL
71932704,2,6,43,0,7.166666666666667,0,175,Mumbai Indians SRL
71932706,1,6,52,1,8.666666666666666,0,162,Chennai Super Kings SRL
71932706,2,6,74,0,12.333333333333334,0,164,Royal Challengers Bangalore SRL
71932708,1,6,37,1,6.166666666666667,0,192,Rajasthan Royals SRL
71932708,2,6,51,3,8.5,0,179,Delhi Capitals SRL
71932710,1,6,58,3,9.666666666666666,0,176,Punjab Kings SRL
71932710,2,6,47,1,7.833333333333333,0,152,Gujarat Titans SRL
71932712,1,6,47,1,7.833333333333333,0,180,Mumbai Indians SRL
71932712,2,6,52,1,8.666666666666666,0,177,Kolkata Knight Riders SRL
71932714,1,6,49,2,8.166666666666666,0,141,Sunrisers Hyderabad SRL
71932714,2,6,48,0,8.0,0,142,Lucknow Super Giants SRL
71932716,1,6,43,2,7.166666666666667,0,172,Rajasthan Royals SRL
71932716,2,6,35,0,5.833333333333333,0,138,Chennai Super Kings SRL
71932718,1,6,53,1,8.833333333333334,0,199,Punjab Kings SRL
71932718,2,6,37,0,6.166666666666667,0,199,Delhi Capitals SRL
71932720,1,6,52,1,8.666666666666666,0,193,Mumbai Indians Srl
71932720,2,6,50,1,8.333333333333334,0,182,Gujarat Titans Srl
71932722,1,6,61,2,10.166666666666666,0,144,Kolkata Knight Riders SRL
71932722,2,6,53,2,8.833333333333334,0,145,Sunrisers Hyderabad SRL
71932724,1,6,35,3,5.833333333333333,0,150,Royal Challengers Bangalore SRL
71932724,2,6,51,2,8.5,0,153,Lucknow Super Giants SRL
71932756,1,6,89,0,14.833333333333334,0,241,Islamabad United SRL
71932756,2,6,38,3,6.333333333333333,0,143,Multan Sultans SRL
71932758,1,6,58,0,9.666666666666666,0,161,Peshawar Zalmi SRL
71932758,2,6,69,1,11.5,0,164,Karachi Kings SRL
71932760,1,6,55,0,9.166666666666666,0,205,Quetta Gladiators SRL
71932760,2,6,45,2,7.5,0,152,Lahore Qalandars SRL
71932762,1,6,53,3,8.833333333333334,0,190,Hyderabad Kingsmen Srl
71932762,2,6,69,1,11.5,0,192,Rawalpindiz Srl
71932764,1,6,32,2,5.333333333333333,0,168,Islamabad United SRL
